Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
ReSPEpi.i1_P6	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P7	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P8	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P9	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i2_Ghost	0	0	0	NA
ReSPEpi.i2_P1	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P10	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P11	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P12	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P13	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P14	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P15	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P16	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P2	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P3	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P4	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P5	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P6	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P7	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P8	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
ReSPEpi.i2_P9	2.59835122286612	0.450992245461011	5.11979826616632	683.44499153851
becomeUninfectiousRateSPEpi.i0_endtime	0.294480053693963	0.210283145250917	0.381096738720542	1113.6395034414
becomeUninfectiousRateSPEpi.i0	6.97098924147927	2.28812577055229	12.7003197557388	2765.37890214842
becomeUninfectiousRateSPEpi.i1_endtime	0.380480053693963	0.296283145250917	0.467096738720542	1113.63950344139
becomeUninfectiousRateSPEpi.i1	7.97440869825479	3.46840785840648	13.1712190614619	3394.12255487174
becomeUninfectiousRateSPEpi.i2	9.50523994435732	4.01693148639245	16.4578447052267	688.254748819942
ReAmongDemesSPEpi._i0_endtime	0.294480053693963	0.210283145250917	0.381096738720542	1113.6395034414
ReAmongDemesSPEpi.i0_Ghost_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P14	0	0	0	NA
